"tijd","vlaanderen_zon_kwh","vlaanderen_wind_kwh","elia_zon_kwh","elia_wind_kwh"
"2026-02-09 18:00:00+00","0","447610","0","138025"
"2026-02-09 17:00:00+00","71413","284009","0","168975"
"2026-02-09 16:00:00+00","348351","246266","58493.75","115650"
"2026-02-09 15:00:00+00","748478","282650","371394.25","72350"
"2026-02-09 14:00:00+00","1081063","268084","901978.25","155075"
"2026-02-09 13:00:00+00","1244843","269624","1324121.25","74450"
"2026-02-09 12:00:00+00","1415858","253415","1261275.25","71575"
"2026-02-09 11:00:00+00","1462670","253707","1032430.75","70175"
"2026-02-09 10:00:00+00","1173539","277105","1156168.5","33925"
"2026-02-09 09:00:00+00","531631","273980","787308.25","155850"
"2026-02-09 08:00:00+00","78073","260558","470673.5","123675"
"2026-02-09 07:00:00+00","0","269193","76041.5","120850"
"2026-02-09 06:00:00+00","0","325895","0","75750"
"2026-02-09 05:00:00+00","0","339578","0","168050"
"2026-02-09 04:00:00+00","0","371558","0","131350"
"2026-02-09 03:00:00+00","0","380070","0","182475"
"2026-02-09 02:00:00+00","0","351621","0","184975"
"2026-02-09 01:00:00+00","0","336736","0","133025"
"2026-02-09 00:00:00+00","0","346660","0","134550"
"2026-02-08 23:00:00+00","0","341758","0","84525"
"2026-02-08 22:00:00+00","0","313822","0","185850"
"2026-02-08 21:00:00+00","0","316754","0","137325"
"2026-02-08 20:00:00+00","0","314597","0","196075"
"2026-02-08 19:00:00+00","0","338010","0","154150"
"2026-02-08 18:00:00+00","0","275946","0","154000"
"2026-02-08 17:00:00+00","212966","196093","0","65650"
"2026-02-08 16:00:00+00","1202052","135151","129273.25","33475"
"2026-02-08 15:00:00+00","2586135","112191","1035913.25","34375"
"2026-02-08 14:00:00+00","3598906","112568","2171007","18000"
"2026-02-08 13:00:00+00","3908425","108460","3198061.5","17900"
"2026-02-08 12:00:00+00","3761462","101131","3657936.75","7675"
"2026-02-08 11:00:00+00","3279790","126256","3486638.5","18575"
"2026-02-08 10:00:00+00","2365452","220278","2683752.25","58050"
"2026-02-08 09:00:00+00","1015790","311088","1824395.5","104325"
"2026-02-08 08:00:00+00","156437","405133","881730","86800"
"2026-02-08 07:00:00+00","0","433139","153541.25","105550"
"2026-02-08 06:00:00+00","0","488752","0","167250"
"2026-02-08 05:00:00+00","0","538860","0","253125"
"2026-02-08 04:00:00+00","0","642233","0","198600"
"2026-02-08 03:00:00+00","0","678748","0","228650"
"2026-02-08 02:00:00+00","0","669852","0","242400"
"2026-02-08 01:00:00+00","0","680737","0","240575"
"2026-02-08 00:00:00+00","0","683931","0","161825"
"2026-02-07 23:00:00+00","0","794781","0","261450"
"2026-02-07 22:00:00+00","0","811923","0","78950"
"2026-02-07 21:00:00+00","0","829765","0","81450"
"2026-02-07 20:00:00+00","0","751664","0","321825"
"2026-02-07 19:00:00+00","0","679128","0","411250"
"2026-02-07 18:00:00+00","0","594116","0","268950"
"2026-02-07 17:00:00+00","144871","528505","0","153625"
"2026-02-07 16:00:00+00","920753","535076","77305.5","217925"
"2026-02-07 15:00:00+00","2040740","524636","701894","221700"
"2026-02-07 14:00:00+00","3021235","556674","1550207.75","151450"
"2026-02-07 13:00:00+00","3439654","567726","2444324.75","69250"
"2026-02-07 12:00:00+00","3361324","569050","2692160.5","312375"
"2026-02-07 11:00:00+00","3068679","442743","2513709.5","231150"
"2026-02-07 10:00:00+00","2341370","513561","2316777.75","302475"
"2026-02-07 09:00:00+00","1024505","702327","1921258.75","68375"
"2026-02-07 08:00:00+00","147685","757077","995560","271850"
"2026-02-07 07:00:00+00","0","724959","142324.5","183550"
"2026-02-07 06:00:00+00","0","696651","0","163925"
"2026-02-07 05:00:00+00","0","659493","0","334075"
"2026-02-07 04:00:00+00","0","660499","0","339725"
"2026-02-07 03:00:00+00","0","645295","0","254075"
"2026-02-07 02:00:00+00","0","727005","0","267275"
"2026-02-07 01:00:00+00","0","753987","0","71950"
"2026-02-07 00:00:00+00","0","740419","0","291850"
"2026-02-06 23:00:00+00","0","689597","0","182250"
"2026-02-06 22:00:00+00","0","679025","0","283400"
"2026-02-06 21:00:00+00","0","681216","0","274825"
"2026-02-06 20:00:00+00","0","613893","0","165200"
"2026-02-06 19:00:00+00","0","464417","0","249025"
"2026-02-06 18:00:00+00","0","335711","0","143675"
"2026-02-06 17:00:00+00","94526","280148","0","224625"
"2026-02-06 16:00:00+00","472193","262478","30829","177250"
"2026-02-06 15:00:00+00","632132","199212","267784","112800"
"2026-02-06 14:00:00+00","598437","190581","604069.5","63875"
"2026-02-06 13:00:00+00","529559","302711","809731.75","104350"
"2026-02-06 12:00:00+00","427753","361761","732743.25","149025"
"2026-02-06 11:00:00+00","312600","441278","663125.25","179225"
"2026-02-06 10:00:00+00","223136","521956","521473.75","272825"
"2026-02-06 09:00:00+00","115009","546541","302734","209175"
"2026-02-06 08:00:00+00","14280","506692","119266.5","137675"
"2026-02-06 07:00:00+00","0","473789","20394.5","309675"
"2026-02-06 06:00:00+00","0","438333","0","135950"
"2026-02-06 05:00:00+00","0","395937","0","201975"
"2026-02-06 04:00:00+00","0","404917","0","190600"
"2026-02-06 03:00:00+00","0","355977","0","230350"
"2026-02-06 02:00:00+00","0","326460","0","157650"
"2026-02-06 01:00:00+00","0","284080","0","99400"
"2026-02-06 00:00:00+00","0","294126","0","142725"
"2026-02-05 23:00:00+00","0","355848","0","195375"
"2026-02-05 22:00:00+00","0","368093","0","106425"
"2026-02-05 21:00:00+00","0","366845","0","170050"
"2026-02-05 20:00:00+00","0","428734","0","223175"
"2026-02-05 19:00:00+00","0","455211","0","119950"
"2026-02-05 18:00:00+00","0","408895","0","196075"
"2026-02-05 17:00:00+00","34219","357962","0","253000"
"2026-02-05 16:00:00+00","335475","319946","18560.25","169925"
"2026-02-05 15:00:00+00","770169","318378","181238","255975"
"2026-02-05 14:00:00+00","964749","321628","453173.25","143375"
"2026-02-05 13:00:00+00","1100421","365008","772600.25","182175"
"2026-02-05 12:00:00+00","1545391","421580","953281.5","96325"
"2026-02-05 11:00:00+00","1578233","537635","976291.5","166750"
"2026-02-05 10:00:00+00","808761","719847","1000651.25","383000"
"2026-02-05 09:00:00+00","295236","735889","586341.25","444450"
"2026-02-05 08:00:00+00","53884","686948","260446.5","325600"
"2026-02-05 07:00:00+00","0","714211","37532.5","301875"
"2026-02-05 06:00:00+00","0","768252","0","420075"
"2026-02-05 05:00:00+00","0","865198","0","215550"
"2026-02-05 04:00:00+00","0","969314","0","654675"
"2026-02-05 03:00:00+00","0","1060830","0","265775"
"2026-02-05 02:00:00+00","0","1070122","0","118950"
"2026-02-05 01:00:00+00","0","1070896","0","282725"
"2026-02-05 00:00:00+00","0","1077231","0","451150"
"2026-02-04 23:00:00+00","0","1208970","0","291300"
"2026-02-04 22:00:00+00","0","1305014","0","126550"
"2026-02-04 21:00:00+00","0","1317704","0","521150"
"2026-02-04 20:00:00+00","0","1285771","0","136475"
"2026-02-04 19:00:00+00","0","1234174","0","556925"
"2026-02-04 18:00:00+00","0","1070188","0","313500"
"2026-02-04 17:00:00+00","106737","601791","0","602825"
"2026-02-04 16:00:00+00","757747","393381","39946.5","72225"
"2026-02-04 15:00:00+00","1984868","353315","458477","168800"
"2026-02-04 14:00:00+00","3281074","314426","1014567","137825"
"2026-02-04 13:00:00+00","3812848","275175","1924742.75","40575"
"2026-02-04 12:00:00+00","3714478","210509","3431615.25","112100"
"2026-02-04 11:00:00+00","3294350","196316","3644282.75","101425"
"2026-02-04 10:00:00+00","2388812","263747","3203772.75","56125"
"2026-02-04 09:00:00+00","962009","421664","2269467.25","125375"
"2026-02-04 08:00:00+00","107188","484604","1184582","186125"
"2026-02-04 07:00:00+00","0","379492","157535.5","219600"
"2026-02-04 06:00:00+00","0","385182","0","186125"
"2026-02-04 05:00:00+00","0","408145","0","109325"
"2026-02-04 04:00:00+00","0","483040","0","182625"
"2026-02-04 03:00:00+00","0","591191","0","218825"
"2026-02-04 02:00:00+00","0","653539","0","376425"
"2026-02-04 01:00:00+00","0","698599","0","185325"
"2026-02-04 00:00:00+00","0","682982","0","192950"
"2026-02-03 23:00:00+00","0","693787","0","73700"
"2026-02-03 22:00:00+00","0","748173","0","441075"
"2026-02-03 21:00:00+00","0","833001","0","215375"
"2026-02-03 20:00:00+00","0","751559","0","507400"
"2026-02-03 19:00:00+00","0","554916","0","354300"
"2026-02-03 18:00:00+00","0","424139","0","308750"
"2026-02-03 17:00:00+00","946","489985","0","158050"
"2026-02-03 16:00:00+00","77885","611837","10958.5","343700"
"2026-02-03 15:00:00+00","348236","710265","115141.75","388600"
"2026-02-03 14:00:00+00","751267","795140","269791","481375"
"2026-02-03 13:00:00+00","890563","838577","510970.25","559300"
"2026-02-03 12:00:00+00","596113","844689","857056.75","562000"
"2026-02-03 11:00:00+00","251826","826639","723226.75","251600"
"2026-02-03 10:00:00+00","114727","845841","328581.75","396850"
"2026-02-03 09:00:00+00","47897","949521","152160.75","554625"
"2026-02-03 08:00:00+00","6024","977373","67083.25","430575"
"2026-02-03 07:00:00+00","0","1133104","8827.75","450850"
"2026-02-03 06:00:00+00","0","1147127","0","908550"
"2026-02-03 05:00:00+00","0","1148410","0","322800"
"2026-02-03 04:00:00+00","0","1178399","0","713425"
"2026-02-03 03:00:00+00","0","1221294","0","531075"
"2026-02-03 02:00:00+00","0","1182038","0","334200"
"2026-02-03 01:00:00+00","0","1122824","0","724675"
"2026-02-03 00:00:00+00","0","1081461","0","502775"
"2026-02-02 23:00:00+00","0","1083294","0","475600"
"2026-02-02 22:00:00+00","0","1036673","0","633550"
"2026-02-02 21:00:00+00","0","984700","0","613925"
"2026-02-02 20:00:00+00","0","931245","0","420625"
"2026-02-02 19:00:00+00","0","863214","0","542800"
"2026-02-02 18:00:00+00","0","736052","0","359300"
"2026-02-02 17:00:00+00","51629","549385","0","429100"
"2026-02-02 16:00:00+00","285470","430999","17133.25","250800"
"2026-02-02 15:00:00+00","561382","379919","215914.5","116400"
"2026-02-02 14:00:00+00","779671","328171","573617.75","192800"
"2026-02-02 13:00:00+00","863766","280007","825445.5","38925"
"2026-02-02 12:00:00+00","907560","244792","1113277.5","72425"
"2026-02-02 11:00:00+00","907626","224534","1230351.25","148500"
"2026-02-02 10:00:00+00","748127","233916","976575.25","63600"
"2026-02-02 09:00:00+00","345440","275625","697459.25","97000"
"2026-02-02 08:00:00+00","39105","313256","260650.75","154475"
"2026-02-02 07:00:00+00","0","402051","30574.25","143525"
"2026-02-02 06:00:00+00","0","463713","0","111800"
"2026-02-02 05:00:00+00","0","491394","0","204550"
"2026-02-02 04:00:00+00","0","532463","0","227050"
"2026-02-02 03:00:00+00","0","531171","0","329225"
"2026-02-02 02:00:00+00","0","538796","0","68575"
"2026-02-02 01:00:00+00","0","528945","0","165025"
"2026-02-02 00:00:00+00","0","536120","0","162200"
"2026-02-01 23:00:00+00","0","545623","0","154700"
"2026-02-01 22:00:00+00","0","524105","0","144800"
"2026-02-01 21:00:00+00","0","476668","0","299300"
"2026-02-01 20:00:00+00","0","465907","0","215550"
"2026-02-01 19:00:00+00","0","388527","0","132000"
"2026-02-01 18:00:00+00","0","300078","0","163450"
"2026-02-01 17:00:00+00","59513","270163","0","223950"
"2026-02-01 16:00:00+00","489653","293983","13754.5","114200"
"2026-02-01 15:00:00+00","940479","334735","193198.5","74225"
"2026-02-01 14:00:00+00","1091890","414276","551112","82850"
"2026-02-01 13:00:00+00","1108023","426032","788080.25","211025"
"2026-02-01 12:00:00+00","1021698","429335","877809.75","108375"
"2026-02-01 11:00:00+00","973621","381085","972808.75","182325"
"2026-02-01 10:00:00+00","911365","410738","820530.75","111550"
"2026-02-01 09:00:00+00","503283","458950","545014.5","182800"
"2026-02-01 08:00:00+00","59405","449913","208249","213075"
"2026-02-01 07:00:00+00","0","473045","21730.75","319600"
"2026-02-01 06:00:00+00","0","478128","0","150000"
"2026-02-01 05:00:00+00","0","516998","0","146525"
"2026-02-01 04:00:00+00","0","521426","0","311625"
"2026-02-01 03:00:00+00","0","516527","0","140325"
"2026-02-01 02:00:00+00","0","490614","0","219275"
"2026-02-01 01:00:00+00","0","506365","0","208400"
"2026-02-01 00:00:00+00","0","488520","0","130200"
"2026-01-31 23:00:00+00","0","420429","0","198800"
"2026-01-31 22:00:00+00","0","408098","0","176350"
"2026-01-31 21:00:00+00","0","482639","0","143700"
"2026-01-31 20:00:00+00","0","444355","0","132725"
"2026-01-31 19:00:00+00","0","416254","0","69700"
"2026-01-31 18:00:00+00","0","287207","0","87350"
"2026-01-31 17:00:00+00","76695","184098","0","74100"
"2026-01-31 16:00:00+00","637267","157921","23842","53100"
"2026-01-31 15:00:00+00","1446417","165641","408970","42500"
"2026-01-31 14:00:00+00","1944219","146337","1044809.75","30025"
"2026-01-31 13:00:00+00","2023965","126897","1762968.25","14275"
"2026-01-31 12:00:00+00","1759085","119212","1958013","53675"
"2026-01-31 11:00:00+00","1348167","144903","1669574.25","42850"
"2026-01-31 10:00:00+00","884764","201672","1169411.75","54375"
"2026-01-31 09:00:00+00","293122","335753","622518.25","80275"
"2026-01-31 08:00:00+00","20408","370807","286218.75","70375"
"2026-01-31 07:00:00+00","0","326688","26529","244825"
"2026-01-31 06:00:00+00","0","326394","0","149725"
"2026-01-31 05:00:00+00","0","343621","0","99050"
"2026-01-31 04:00:00+00","0","450181","0","109575"
"2026-01-31 03:00:00+00","0","548410","0","221500"
"2026-01-31 02:00:00+00","0","641772","0","349300"
"2026-01-31 01:00:00+00","0","715921","0","378675"
"2026-01-31 00:00:00+00","0","718446","0","437325"
"2026-01-30 23:00:00+00","0","879810","0","341325"
"2026-01-30 22:00:00+00","0","906651","0","639875"
"2026-01-30 21:00:00+00","0","873845","0","499925"
"2026-01-30 20:00:00+00","0","736715","0","475300"
"2026-01-30 19:00:00+00","0","617212","0","317200"
"2026-01-30 18:00:00+00","0","487248","0","253300"
"2026-01-30 17:00:00+00","9641","421575","0","148000"
"2026-01-30 16:00:00+00","132566","393138","9548","126250"
"2026-01-30 15:00:00+00","457451","364178","180299.25","173275"
"2026-01-30 14:00:00+00","1025024","312022","488199.5","47025"
"2026-01-30 13:00:00+00","1496386","286278","966185.75","182625"
"2026-01-30 12:00:00+00","1683613","273134","1510546.5","81750"
"2026-01-30 11:00:00+00","1562733","388687","1813344","201425"
"2026-01-30 10:00:00+00","990760","491161","1776470.5","49875"
"2026-01-30 09:00:00+00","373716","577269","1065935","142725"
"2026-01-30 08:00:00+00","40447","613367","352565.25","238300"
"2026-01-30 07:00:00+00","0","649911","29057.25","326325"
"2026-01-30 06:00:00+00","0","650018","0","238825"
"2026-01-30 05:00:00+00","0","635166","0","314350"
"2026-01-30 04:00:00+00","0","524307","0","210375"
"2026-01-30 03:00:00+00","0","386092","0","179750"
"2026-01-30 02:00:00+00","0","312914","0","102725"
"2026-01-30 01:00:00+00","0","266336","0","85475"
"2026-01-30 00:00:00+00","0","239939","0","113725"
"2026-01-29 23:00:00+00","0","262302","0","71200"
"2026-01-29 22:00:00+00","0","266220","0","163875"
"2026-01-29 21:00:00+00","0","212884","0","59950"
"2026-01-29 20:00:00+00","0","151900","0","52950"
"2026-01-29 19:00:00+00","0","116846","0","61300"
"2026-01-29 18:00:00+00","0","90097","0","39275"
"2026-01-29 17:00:00+00","22442","77835","0","11400"
"2026-01-29 16:00:00+00","239546","78118","6926","8900"
"2026-01-29 15:00:00+00","541845","78685","99274.5","3050"
"2026-01-29 14:00:00+00","725054","82537","253374","1650"
"2026-01-29 13:00:00+00","823447","83712","364334.75","1425"
"2026-01-29 12:00:00+00","932315","88842","386775","975"
"2026-01-29 11:00:00+00","966706","86215","447538","675"
"2026-01-29 10:00:00+00","752728","85270","415595.75","1175"
"2026-01-29 09:00:00+00","286838","81807","298859.25","2175"
"2026-01-29 08:00:00+00","20853","81074","142091.5","5325"
"2026-01-29 07:00:00+00","0","87002","13637.75","5475"
"2026-01-29 06:00:00+00","0","87084","0","10750"
"2026-01-29 05:00:00+00","0","93068","0","13825"
"2026-01-29 04:00:00+00","0","96051","0","13425"
"2026-01-29 03:00:00+00","0","105717","0","15025"
"2026-01-29 02:00:00+00","0","123114","0","20525"
"2026-01-29 01:00:00+00","0","142452","0","18550"
"2026-01-29 00:00:00+00","0","135547","0","21250"
"2026-01-28 23:00:00+00","0","135616","0","46250"
"2026-01-28 22:00:00+00","0","145385","0","26625"
"2026-01-28 21:00:00+00","0","152265","0","34075"
"2026-01-28 20:00:00+00","0","146791","0","54825"
"2026-01-28 19:00:00+00","0","160826","0","73600"
"2026-01-28 18:00:00+00","0","150908","0","34275"
"2026-01-28 17:00:00+00","8906","131604","0","49075"
"2026-01-28 16:00:00+00","143745","104419","5436.25","22925"
"2026-01-28 15:00:00+00","460097","96891","85037.5","23475"
"2026-01-28 14:00:00+00","767590","102046","258093.75","18650"
"2026-01-28 13:00:00+00","915326","99457","423884.5","13875"
"2026-01-28 12:00:00+00","1019580","100521","586257.5","9200"
"2026-01-28 11:00:00+00","985194","68421","736706.75","8700"
"2026-01-28 10:00:00+00","569167","62043","626744.5","3200"
"2026-01-28 09:00:00+00","153774","82632","315991","9225"
"2026-01-28 08:00:00+00","5995","76233","114043","16125"
"2026-01-28 07:00:00+00","0","61985","9620.75","11850"
"2026-01-28 06:00:00+00","0","91370","0","23500"
"2026-01-28 05:00:00+00","0","104543","0","37675"
"2026-01-28 04:00:00+00","0","123231","0","35000"
"2026-01-28 03:00:00+00","0","153309","0","18350"
"2026-01-28 02:00:00+00","0","157544","0","107050"
"2026-01-28 01:00:00+00","0","191233","0","91175"
"2026-01-28 00:00:00+00","0","300372","0","105450"
"2026-01-27 23:00:00+00","0","409465","0","138975"
"2026-01-27 22:00:00+00","0","440630","0","240475"
"2026-01-27 21:00:00+00","0","421721","0","116600"
"2026-01-27 20:00:00+00","0","354773","0","202600"
"2026-01-27 19:00:00+00","0","431836","0","51825"
"2026-01-27 18:00:00+00","0","473285","0","50400"
"2026-01-27 17:00:00+00","243","489009","0","285400"
"2026-01-27 16:00:00+00","7394","551582","1544.75","221375"
"2026-01-27 15:00:00+00","59830","663043","30055.5","259000"
"2026-01-27 14:00:00+00","162950","829480","102700.75","328050"
"2026-01-27 13:00:00+00","242985","1031463","248069.75","92925"
"2026-01-27 12:00:00+00","251887","1109666","317441.75","287700"
"2026-01-27 11:00:00+00","220008","1063608","351288.5","512550"
"2026-01-27 10:00:00+00","150637","1027952","258748.75","313325"
"2026-01-27 09:00:00+00","49414","969917","165544","303750"
"2026-01-27 08:00:00+00","3089","960972","65204","812775"
"2026-01-27 07:00:00+00","0","904744","5572.25","609325"
"2026-01-27 06:00:00+00","0","762940","0","408250"
"2026-01-27 05:00:00+00","0","707074","0","504675"
"2026-01-27 04:00:00+00","0","667106","0","445950"
"2026-01-27 03:00:00+00","0","554047","0","314675"
"2026-01-27 02:00:00+00","0","465961","0","274175"
"2026-01-27 01:00:00+00","0","448657","0","319525"
"2026-01-27 00:00:00+00","0","356206","0","209325"
"2026-01-26 23:00:00+00","0","286416","0","128775"
"2026-01-26 22:00:00+00","0","201845","0","54000"
"2026-01-26 21:00:00+00","0","131869","0","101350"
"2026-01-26 20:00:00+00","0","77113","0","24300"
"2026-01-26 19:00:00+00","0","60375","0","23575"
"2026-01-26 18:00:00+00","0","46987","0","13475"
"2026-01-26 17:00:00+00","13969","39246","0","12200"
"2026-01-26 16:00:00+00","223125","49022","4171.75","4425"
"2026-01-26 15:00:00+00","543390","36995","86255.25","5100"
"2026-01-26 14:00:00+00","747511","61350","270797.75","4500"
"2026-01-26 13:00:00+00","832442","65784","435012.25","10525"
"2026-01-26 12:00:00+00","901705","55649","515438.5","6025"
"2026-01-26 11:00:00+00","876687","27984","530265.5","9200"
"2026-01-26 10:00:00+00","609035","72204","430107.75","3075"
"2026-01-26 09:00:00+00","248704","63860","298937","4175"
"2026-01-26 08:00:00+00","16502","71009","132338.75","5025"
"2026-01-26 07:00:00+00","0","81041","10311","14250"
"2026-01-26 06:00:00+00","0","135497","0","13725"
"2026-01-26 05:00:00+00","0","129869","0","27450"
"2026-01-26 04:00:00+00","0","103557","0","17375"
"2026-01-26 03:00:00+00","0","103424","0","17550"
"2026-01-26 02:00:00+00","0","126448","0","17975"
"2026-01-26 01:00:00+00","0","95016","0","18875"
"2026-01-26 00:00:00+00","0","80052","0","23325"
"2026-01-25 23:00:00+00","0","70094","0","28525"
"2026-01-25 22:00:00+00","0","133584","0","34450"
"2026-01-25 21:00:00+00","0","216067","0","42075"
"2026-01-25 20:00:00+00","0","293313","0","43775"
"2026-01-25 19:00:00+00","0","346138","0","88475"
"2026-01-25 18:00:00+00","0","295372","0","85475"
"2026-01-25 17:00:00+00","31175","212848","0","133475"
"2026-01-25 16:00:00+00","420986","128433","6880.75","141950"
"2026-01-25 15:00:00+00","1261803","60454","276716.25","62900"
"2026-01-25 14:00:00+00","1885180","59728","829507.75","39250"
"2026-01-25 13:00:00+00","2125928","70163","1278356","28100"
"2026-01-25 12:00:00+00","2289071","117027","1513918.5","25300"
"2026-01-25 11:00:00+00","2335650","211502","1568064.75","43000"
"2026-01-25 10:00:00+00","1811899","310819","1465045.75","52575"
"2026-01-25 09:00:00+00","632882","343089","1158213.5","82325"
"2026-01-25 08:00:00+00","35778","371030","542195","163275"
"2026-01-25 07:00:00+00","0","431147","31921.75","107200"
"2026-01-25 06:00:00+00","0","480174","0","187150"
"2026-01-25 05:00:00+00","0","463936","0","190725"
"2026-01-25 04:00:00+00","0","411204","0","185525"
"2026-01-25 03:00:00+00","0","406002","0","168850"
"2026-01-25 02:00:00+00","0","377702","0","213625"
"2026-01-25 01:00:00+00","0","366663","0","228525"
"2026-01-25 00:00:00+00","0","361662","0","275375"
"2026-01-24 23:00:00+00","0","420224","0","150375"
"2026-01-24 22:00:00+00","0","516870","0","106575"
"2026-01-24 21:00:00+00","0","566243","0","136650"
"2026-01-24 20:00:00+00","0","556633","0","334900"
"2026-01-24 19:00:00+00","0","614297","0","255250"
"2026-01-24 18:00:00+00","0","607351","0","254850"
"2026-01-24 17:00:00+00","47776","380734","0","224100"
"2026-01-24 16:00:00+00","639107","231986","10901","229475"
"2026-01-24 15:00:00+00","1918899","168790","531486","102575"
"2026-01-24 14:00:00+00","3024498","138818","1560007","88775"
"2026-01-24 13:00:00+00","3426960","123327","2681544.5","71450"
"2026-01-24 12:00:00+00","3371229","120111","3228124.5","65550"
"2026-01-24 11:00:00+00","2979973","149872","3056627.5","86300"
"2026-01-24 10:00:00+00","2046073","316665","2925932.75","97125"
"2026-01-24 09:00:00+00","654053","506039","2067671.75","96925"
"2026-01-24 08:00:00+00","31065","598722","894804.25","259275"
"2026-01-24 07:00:00+00","0","580469","43912.75","216400"
"2026-01-24 06:00:00+00","0","546769","0","56675"
"2026-01-24 05:00:00+00","0","449561","0","189600"
"2026-01-24 04:00:00+00","0","435086","0","118800"
"2026-01-24 03:00:00+00","0","482936","0","262625"
"2026-01-24 02:00:00+00","0","505298","0","206900"
"2026-01-24 01:00:00+00","0","471677","0","277575"
"2026-01-24 00:00:00+00","0","485223","0","345300"
"2026-01-23 23:00:00+00","0","497300","0","211450"
"2026-01-23 22:00:00+00","0","499407","0","314450"
"2026-01-23 21:00:00+00","0","502524","0","242200"
"2026-01-23 20:00:00+00","0","495459","0","332275"
"2026-01-23 19:00:00+00","0","470751","0","338000"
"2026-01-23 18:00:00+00","0","460623","0","148525"
"2026-01-23 17:00:00+00","5846","454424","0","387350"
"2026-01-23 16:00:00+00","192183","480170","2260.75","226000"
"2026-01-23 15:00:00+00","491051","540225","105205.5","310925"
"2026-01-23 14:00:00+00","762653","477274","362534","150100"
"2026-01-23 13:00:00+00","983445","511073","613442.75","332100"
"2026-01-23 12:00:00+00","1140838","533911","771589","232350"
"2026-01-23 11:00:00+00","1152860","603524","957043","235925"
"2026-01-23 10:00:00+00","846935","673182","950612","248800"
"2026-01-23 09:00:00+00","278646","809539","742185","287850"
"2026-01-23 08:00:00+00","13657","805053","268988.75","196250"
"2026-01-23 07:00:00+00","0","688166","12836","429875"
"2026-01-23 06:00:00+00","0","616757","0","273000"
"2026-01-23 05:00:00+00","0","600643","0","325025"
"2026-01-23 04:00:00+00","0","621015","0","143350"
"2026-01-23 03:00:00+00","0","626120","0","143475"
"2026-01-23 02:00:00+00","0","594648","0","438600"
"2026-01-23 01:00:00+00","0","650930","0","376025"
"2026-01-23 00:00:00+00","0","662857","0","71725"
"2026-01-22 23:00:00+00","0","662619","0","180200"
"2026-01-22 22:00:00+00","0","620846","0","286550"
"2026-01-22 21:00:00+00","0","631486","0","77425"
"2026-01-22 20:00:00+00","0","631129","0","314800"
"2026-01-22 19:00:00+00","0","666247","0","337075"
"2026-01-22 18:00:00+00","0","572934","0","91975"
"2026-01-22 17:00:00+00","22701","436279","0","390500"
"2026-01-22 16:00:00+00","285874","358638","2657","326250"
"2026-01-22 15:00:00+00","765417","306607","150894.75","196675"
"2026-01-22 14:00:00+00","1425436","231818","589768","167225"
"2026-01-22 13:00:00+00","1858075","237358","1074011.5","143150"
"2026-01-22 12:00:00+00","1975542","294341","1345784","130000"
"2026-01-22 11:00:00+00","1952687","462148","1613755.75","51700"
"2026-01-22 10:00:00+00","1470438","624957","1527056.25","165325"
"2026-01-22 09:00:00+00","488698","730032","1146139.5","313750"
"2026-01-22 08:00:00+00","19789","816399","381999","296300"
"2026-01-22 07:00:00+00","0","859622","15438","318075"
"2026-01-22 06:00:00+00","0","872807","0","445350"
"2026-01-22 05:00:00+00","0","863166","0","210725"
"2026-01-22 04:00:00+00","0","821554","0","480500"
"2026-01-22 03:00:00+00","0","880280","0","229675"
"2026-01-22 02:00:00+00","0","870895","0","511100"
"2026-01-22 01:00:00+00","0","857010","0","614500"
"2026-01-22 00:00:00+00","0","829319","0","222150"
"2026-01-21 23:00:00+00","0","870598","0","380200"
"2026-01-21 22:00:00+00","0","889416","0","405575"
"2026-01-21 21:00:00+00","0","951986","0","117800"
"2026-01-21 20:00:00+00","0","1082330","0","773375"
"2026-01-21 19:00:00+00","0","1228255","0","669475"
"2026-01-21 18:00:00+00","0","1175873","0","506850"
"2026-01-21 17:00:00+00","20620","975065","0","702300"
"2026-01-21 16:00:00+00","459177","751727","3334","459450"
"2026-01-21 15:00:00+00","1278178","639419","293352","384275"
"2026-01-21 14:00:00+00","2021225","554280","1064960.25","325900"
"2026-01-21 13:00:00+00","2055602","709956","1567230.5","184225"
"2026-01-21 12:00:00+00","1427873","722086","1622415.75","229875"
"2026-01-21 11:00:00+00","757594","783386","1086302.75","401650"
"2026-01-21 10:00:00+00","384389","954520","528355.5","293050"
"2026-01-21 09:00:00+00","106352","1114495","238640.25","478000"
"2026-01-21 08:00:00+00","2470","1131095","85380.25","523875"
"2026-01-21 07:00:00+00","0","1141872","4640.5","749500"
"2026-01-21 06:00:00+00","0","1127950","0","352175"
"2026-01-21 05:00:00+00","0","1138380","0","762450"
"2026-01-21 04:00:00+00","0","1204265","0","763400"
"2026-01-21 03:00:00+00","0","1261845","0","791025"
"2026-01-21 02:00:00+00","0","1185584","0","1025150"
"2026-01-21 01:00:00+00","0","1000967","0","561700"
"2026-01-21 00:00:00+00","0","889963","0","836600"
"2026-01-20 23:00:00+00","0","730909","0","722475"
"2026-01-20 22:00:00+00","0","680205","0","245625"
"2026-01-20 21:00:00+00","0","671118","0","493775"
"2026-01-20 20:00:00+00","0","672139","0","465600"
"2026-01-20 19:00:00+00","0","632212","0","99625"
"2026-01-20 18:00:00+00","0","539534","0","96275"
"2026-01-20 17:00:00+00","18063","370621","0","302625"
"2026-01-20 16:00:00+00","569411","275093","2805.5","220375"
"2026-01-20 15:00:00+00","1795416","196341","341653.25","199600"
